,ID,DEPT,GR,RD,DTP,DEN,PE,WQFM,WCARB,WCLAY,WPYR
153,153,2130.6,170.0151,3.7969,277.3028,2696.8279,4.4927,0.3083,0.0768,0.5788,0.0361
154,154,2130.8,170.6042,3.8546,267.3256,2703.5466,4.464,0.2787,0.0543,0.6299,0.0371
155,155,2131,172.6013,4.9322,263.7253,2710.7217,4.4585,0.2997,0.0453,0.6417,0.0132
156,156,2131.2,167.05,4.9401,262.256,2701.4116,4.5358,0.2987,0.0426,0.6473,0.0114
157,157,2131.4,162.8245,5.4434,260.576,2691.3918,4.5813,0.2916,0.0413,0.634,0.0331
158,158,2131.6,159.0303,6.6313,253.6353,2690.4602,4.5596,0.3135,0.0195,0.6339,0.033
159,159,2131.8,157.8568,6.9848,252.3133,2692.1738,4.5295,0.4193,0.0224,0.5461,0.0122
160,160,2132,156.2346,7.0539,251.9638,2692.519,4.5256,0.448,0.0353,0.5168,0
161,161,2132.2,156.6609,7.0776,260.3031,2692.3452,4.546,0.427,0.0306,0.5424,0
162,162,2132.4,154.3925,6.8047,272.3617,2690.7126,4.58,0.3899,0.0213,0.5852,0.0035
163,163,2132.6,159.8957,5.8708,278.858,2687.0154,4.5919,0.3198,0.0154,0.6347,0.0301
164,164,2132.8,164.7278,5.5504,283.2979,2689.0454,4.5502,0.3706,0.0105,0.5949,0.0239
165,165,2133,164.298,4.6993,283.2403,2693.0708,4.5085,0.4287,0,0.5713,0
166,166,2133.2,166.9465,4.2387,281.2791,2706.2002,4.4479,0.4132,0,0.5868,0
167,167,2133.4,165.5707,4.2175,278.4703,2712.8982,4.3881,0.3657,0,0.6289,0.0054
168,168,2133.6,163.7088,4.1869,276.3837,2707.8936,4.3537,0.3606,0,0.6068,0.0327
169,169,2133.8,165.0379,4.2218,279.158,2710.626,4.3113,0.3438,0.0061,0.614,0.0361
170,170,2134,161.1732,3.9826,283.524,2707.2124,4.3311,0.3657,0.0246,0.5712,0.0385
171,171,2134.2,161.5489,4.0129,285.2874,2691.2307,4.4079,0.3495,0.0017,0.6089,0.0399
172,172,2134.4,168.0969,4.0731,287.0571,2682.2395,4.4245,0.3666,0,0.6016,0.0318
173,173,2134.6,172.5557,3.9006,286.1209,2692.0637,4.3638,0.3555,0,0.6166,0.0279
174,174,2134.8,168.9667,3.8916,285.8601,2698.0122,4.3622,0.3461,0,0.6239,0.0301
175,175,2135,168.1632,3.9186,285.6118,2693.9863,4.4235,0.3355,0,0.6404,0.0241
176,176,2135.2,168.5282,3.9166,285.8186,2684.6262,4.4793,0.3707,0.0079,0.6019,0.0195
177,177,2135.4,165.1663,3.9113,285.1819,2683.6606,4.4612,0.4,0.0262,0.5497,0.0242
178,178,2135.6,162.3172,3.9116,285.2598,2682.7856,4.4399,0.404,0.0221,0.5446,0.0293
179,179,2135.8,165.5239,3.9358,285.1169,2683.7324,4.4387,0.4286,0.0168,0.5293,0.0254
180,180,2136,173.566,3.9047,284.2702,2683.1482,4.4669,0.4532,0.0381,0.4956,0.0131
181,181,2136.2,175.7172,3.9909,284.3126,2684.1467,4.4778,0.4434,0.0544,0.4863,0.016
182,182,2136.4,166.3834,4.0359,284.5086,2690.5593,4.4289,0.444,0.0224,0.5106,0.023
183,183,2136.6,158.4399,4.07,283.9383,2695.1431,4.3645,0.4562,0,0.5242,0.0196
184,184,2136.8,156.8833,4.0765,283.1161,2690.1958,4.3295,0.4885,0,0.4985,0.013
185,185,2137,163.5045,4.0435,280.3401,2682.0488,4.3256,0.5138,0,0.4764,0.0097
186,186,2137.2,173.3749,4.174,279.0013,2678.7654,4.3384,0.5065,0,0.4924,0.001
187,187,2137.4,175.8979,4.4896,276.5183,2679.9551,4.3541,0.4615,0,0.5385,0
188,188,2137.6,176.218,4.8295,277.2217,2681.4832,4.3658,0.417,0,0.5625,0.0206
189,189,2137.8,167.8179,5.0468,279.7961,2683.2966,4.3673,0.3988,0,0.5583,0.0429
190,190,2138,162.4823,4.9835,282.1374,2684.0627,4.3762,0.4762,0.0097,0.4975,0.0166
191,191,2138.2,166.2448,4.8097,280.5644,2683.8599,4.3962,0.5355,0.0064,0.458,0
192,192,2138.4,164.5358,4.616,279.2112,2684.4033,4.3942,0.5282,0,0.4609,0.0109
193,193,2138.6,163.5534,4.5424,276.9195,2682.9419,4.3906,0.4875,0,0.4701,0.0425
194,194,2138.8,163.1233,4.5683,275.5522,2686.0166,4.4017,0.469,0.0251,0.4628,0.0431
195,195,2139,155.3586,4.7324,275.4008,2696.0117,4.433,0.4597,0.0679,0.4522,0.0202
196,196,2139.2,150.867,4.7884,275.9084,2707.2395,4.4534,0.4807,0.0348,0.4717,0.0129
197,197,2139.4,158.0846,4.7036,278.0412,2703.1753,4.4875,0.4833,0,0.4939,0.0228
198,198,2139.6,163.6614,4.5843,279.2447,2690.1995,4.5177,0.4743,0,0.5045,0.0212
199,199,2139.8,162.6829,4.4328,281.5252,2687.6001,4.5042,0.4553,0,0.5275,0.0172
200,200,2140,159.7488,4.3421,282.7417,2691.9839,4.4694,0.4497,0,0.5327,0.0176
201,201,2140.2,162.617,4.3871,284.0526,2687.4551,4.4623,0.4291,0.0249,0.5232,0.0228
202,202,2140.4,171.8611,4.2178,283.2125,2684.7883,4.4395,0.4111,0.0481,0.5128,0.028
203,203,2140.6,173.2329,4.0802,281.4525,2688.3042,4.4073,0.4368,0.0028,0.5352,0.0252
204,204,2140.8,163.4016,4.4117,281.5679,2686.5703,4.4089,0.4407,0,0.5456,0.0136
205,205,2141,158.9957,4.5631,281.7915,2678.3452,4.4301,0.4651,0,0.5349,0
206,206,2141.2,159.8035,4.735,285.0489,2673.2727,4.4309,0.467,0.0052,0.5278,0
207,207,2141.4,161.0483,4.8226,285.8115,2676.0088,4.3857,0.4825,0.0211,0.4964,0
208,208,2141.6,163.5872,4.7685,279.5893,2672.6357,4.3826,0.4908,0.0219,0.4874,0
209,209,2141.8,169.241,4.9617,272.4305,2669.6165,4.4275,0.4934,0.0044,0.5023,0
210,210,2142,165.3341,4.9176,255.3794,2675.7825,4.4716,0.4687,0,0.5313,0
211,211,2142.2,158.2991,4.8182,252.7782,2686.2881,4.5361,0.4751,0,0.5249,0
212,212,2142.4,153.5836,5.3219,251.4612,2696.269,4.6558,0.4759,0.0175,0.5065,0
213,213,2142.6,156.4542,5.6736,249.7265,2707.5305,4.7659,0.4571,0.0312,0.5082,0.0036
214,214,2142.8,158.6615,5.8814,248.0432,2714.0654,4.7926,0.4326,0.0373,0.5235,0.0067
215,215,2143,158.538,5.9247,246.9384,2713.1194,4.79,0.4243,0.0344,0.5381,0.0032
216,216,2143.2,152.4169,5.6417,251.48,2709.3848,4.8032,0.4532,0.0114,0.5354,0
217,217,2143.4,154.9675,5.2799,262.3049,2705.8127,4.7935,0.4504,0.023,0.5249,0.0017
218,218,2143.6,161.8772,5.7056,279.042,2692.7935,4.7764,0.4286,0.0585,0.5129,0
219,219,2143.8,166.0268,5.2757,284.893,2683.8567,4.6963,0.3964,0.0788,0.5247,0
220,220,2144,167.8249,4.7585,286.2853,2685.0913,4.5703,0.3939,0.0495,0.5561,0.0005
221,221,2144.2,169.8831,4.3195,285.854,2685.5105,4.5193,0.428,0.0048,0.562,0.0051
222,222,2144.4,173.2144,4.2327,285.6229,2690.3577,4.5262,0.4192,0,0.563,0.0178
223,223,2144.6,177.4655,4.3763,285.1143,2697.8755,4.5246,0.3964,0,0.5802,0.0233
224,224,2144.8,174.7376,4.3955,284.7585,2695.7185,4.5205,0.3889,0,0.5956,0.0156
225,225,2145,170.6056,4.3962,284.3817,2688.8508,4.5142,0.3931,0,0.6055,0.0014
226,226,2145.2,171.3954,4.2171,284.1049,2681.031,4.5417,0.326,0,0.674,0
227,227,2145.4,170.0257,4.0784,283.7026,2684.7251,4.5451,0.3256,0,0.6701,0.0043
228,228,2145.6,170.8478,4.1279,284.2511,2687.3113,4.5307,0.3124,0.0121,0.6638,0.0117
229,229,2145.8,169.6592,4.0885,282.7931,2687.8672,4.5014,0.3515,0.0487,0.5948,0.0051
230,230,2146,168.0148,4.1047,283.9044,2693.7285,4.492,0.3386,0.0112,0.6501,0
231,231,2146.2,167.4206,4.1659,283.7969,2693.2224,4.5403,0.3491,0,0.6509,0
232,232,2146.4,167.3641,4.2434,279.2181,2685.813,4.5896,0.3335,0,0.6665,0
233,233,2146.6,171.1689,4.3212,276.7924,2678.7654,4.5944,0.3448,0.0063,0.6341,0.0149
234,234,2146.8,163.5749,4.597,274.2209,2684.147,4.5703,0.4085,0.0418,0.5372,0.0126
235,235,2147,149.51,4.6537,272.8827,2704.031,4.5433,0.5125,0.0256,0.4612,0.0007
236,236,2147.2,146.9177,4.9385,270.3156,2710.7852,4.5969,0.5277,0,0.4723,0
237,237,2147.4,160.0598,5.1735,268.6245,2702.5122,4.6757,0.4769,0,0.5213,0.0018
238,238,2147.6,169.5866,5.2107,263.9377,2692.2358,4.7171,0.4124,0,0.5799,0.0077
239,239,2147.8,163.7162,5.1223,262.2094,2684.4934,4.6896,0.3093,0,0.6887,0.0019
240,240,2148,151.8644,5.2091,268.0589,2677.95,4.5931,0.3896,0.0015,0.6089,0
241,241,2148.2,153.6504,5.3534,274.9721,2673.3923,4.4863,0.4414,0.0648,0.4938,0
242,242,2148.4,159.7664,4.8393,281.0126,2674.9294,4.4649,0.4292,0.1349,0.4359,0
243,243,2148.6,160.4097,4.6485,281.0584,2694.7178,4.6454,0.4123,0.1374,0.448,0.0022
244,244,2148.8,155.9788,4.602,281.5051,2736.3064,4.9529,0.4205,0.0728,0.4879,0.0189
245,245,2149,154.7609,4.5863,281.6655,2755.3794,5.1185,0.4054,0.0002,0.5391,0.0553
246,246,2149.2,161.3796,4.4854,283.3119,2722.7271,4.8919,0.4108,0.0307,0.5038,0.0547
247,247,2149.4,162.4048,4.4756,284.6568,2698.5286,4.5502,0.4452,0.1301,0.4119,0.0127
248,248,2149.6,156.9124,4.534,287.7392,2702.0835,4.3388,0.4473,0.1633,0.3894,0
249,249,2149.8,154.4178,4.7825,289.8567,2701.7473,4.3105,0.4849,0.0772,0.4359,0.0019
250,250,2150,159.5917,4.9134,290.2808,2685.6602,4.3682,0.4686,0.0065,0.5128,0.0121
251,251,2150.2,161.1405,5.1293,288.5043,2674.4143,4.39,0.45,0,0.5361,0.0139
252,252,2150.4,165.1614,5.3093,287.28,2672.9373,4.3664,0.44,0.014,0.5272,0.0188
253,253,2150.6,173.6702,5.0152,286.7611,2665.3601,4.4121,0.3712,0.0786,0.5243,0.0259
254,254,2150.8,175.5772,5.0778,286.2632,2663.2273,4.4289,0.3672,0.119,0.4958,0.018
255,255,2151,165.5716,5.1859,285.6027,2669.1819,4.3122,0.4427,0.0938,0.461,0.0026
256,256,2151.2,165.1574,5.3752,285.0961,2658.6794,4.2122,0.5174,0.0395,0.4431,0
257,257,2151.4,170.7525,5.3974,283.6989,2645.4612,4.1672,0.529,0.0027,0.462,0.0063
258,258,2151.6,173.3101,5.0581,281.7532,2644.4624,4.1367,0.4721,0.0175,0.4947,0.0157
259,259,2151.8,168.4434,5.4545,280.4823,2649.2224,4.128,0.4368,0.0495,0.5001,0.0136
260,260,2152,162.3954,5.6442,279.7208,2654.1567,4.1417,0.4806,0.0214,0.4955,0.0025
261,261,2152.2,158.865,5.6506,278.6588,2657.8618,4.1568,0.5023,0,0.4905,0.0072
262,262,2152.4,162.1884,5.6854,279.3323,2654.856,4.1732,0.5176,0,0.4514,0.031
263,263,2152.6,163.7333,6.3239,280.6925,2646.0845,4.2242,0.4998,0.0217,0.4414,0.0372
264,264,2152.8,159.8088,6.3989,282.2291,2643.0298,4.2823,0.4841,0.0758,0.4213,0.0188
